moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
Бумажная компания,ТТН0129771 от 19.11.24г.,"Бумага дизайнерская Kabuk GREEN, Зеленый, 270г/м2, Турция",лист SRA3,19,"1,95","1,16","2,25","2,70",ФАКТУРНАЯ ЗЕЛЕНАЯ,270,,,,,,,
Бумажная компания,ТТН4862483 от 21.02.25г.,"Бумага дизайнерская GRANIT GRAY светло-серый, 270г/м2, Италия",лист SRA3,17,"0,96","2,34","2,25","2,70",СВЕТЛО-СЕРАЯ,270,15,,,,,,
Бумажная компания,ТТН0129771 от 19.11.24г.,"Бумага дизайнерская ZENIT Needle Point Green,  Зеленый, 270г/м2, Турция",лист SRA3,3,"1,95","1,16","2,25","2,70",ФАКТУРНАЯ ЗЕЛЕНАЯ,270,,,,,,,
Люмитекс,ТТН0735433 от 28.06.24г.,Бумага MODI LASER DIGITAL CANDIDO 120г/м2,лист SRA3,4,"0,39","2,56","1,00","1,20",МОЛОТОК БЕЛАЯ,120,4,,,,,,
АртПапера,ТН2137442 от 13.10.25г.,"Бумага дизайнерская SL GRAPHICA Laid Diamond White 300г береза, Китай",лист SRA3,19,"1,50","1,50","2,25","2,70",ФАКТУРНАЯ,300,СПИСАТЬ,,,,,,
Буманая компания,ТТН 4474702 от 23.12.24г.,"Бумага дизайнерская Kabuk WHITE Белый, 300г/м2, Турция",лист SRA3,68,"1,86","1,21","2,25","2,70",ФАКТУРНАЯ БЕЛАЯ,300,,,,,,,
Буманая компания,ТТН 4474702 от 23.12.24г.,"Бумага дизайнерская Kabuk Natural Натуральный, 300г/м2, Турция",лист SRA3,65,"1,79","1,26","2,25","2,70",ФАКТУРНАЯ,300,СПИСАТЬ,,,,,,
Бумажная компания,ТТН1706574 от 03.06.25г.,"Бумага дизайнерская Fancy Colorful white, 120г/м2, Италия",лист227*335мм,223,"0,27","1,85","0,50","0,60",ХЛОПОК НАТУРАЛЬНЫЙ,120,"ланголо, фиори",,,,,,
Бумажная компания,ТТН0129771 от 19.11.24г.,"Бумага дизайнерская Kabuk Cream Кремовый, 120г/м2, Турция",лист SRA3,25,"0,56","1,60","0,90","1,08",ФАКТУРНАЯ КРЕМОВАЯ,120,ОСТАТКИ,,,,,,
Бумажная компания,ТТН2161415 от 10.02.23г.,"Бумага дизайнерская Kabuk IVORY АЙВОРИ, 120г/м2, Турция",лист 227*335мм,21,"0,21","2,40","0,50","0,60",ФАКТУРНАЯ АЙВОРИ,120,ОСТАТКИ ФИОРИ,,,,,,
